2026/04/01 19:50:29.474231 pdf_memhook.go:48: [pdf-mem] phase=pdf:purego:snippets_pages=1 file=在读证明.pdf | Alloc=2.60MiB Sys=49.39MiB HeapInuse=3.68MiB HeapObjs=20792 Mallocs=68523 NumGC=192 | activePDF=2
2026/04/01 19:50:29.475787 pdf_memhook.go:48: [pdf-mem] phase=pdf:purego:NewReader_ok file=A_Reinforcement_Learning-Based_ELF_Adversarial_Malicious_Sample_Generation_Method.pdf | Alloc=2.94MiB Sys=49.39MiB HeapInuse=4.34MiB HeapObjs=23077 Mallocs=75283 NumGC=193 | activePDF=2
2026/04/01 19:50:29.475787 pdf_memhook.go:48: [pdf-mem] phase=pdf:purego:snippets_pages=15 file=A_Reinforcement_Learning-Based_ELF_Adversarial_Malicious_Sample_Generation_Method.pdf | Alloc=1.39MiB Sys=49.39MiB HeapInuse=2.84MiB HeapObjs=5851 Mallocs=77159 NumGC=193 | activePDF=2
2026/04/01 19:50:29.481409 pdf_memhook.go:67: [pdf-mem] page file=在读证明.pdf page=1 plainLen=562 | Alloc=1.65MiB HeapInuse=2.99MiB | activePDF=2
2026/04/01 19:50:29.481409 pdf_memhook.go:48: [pdf-mem] phase=pdf:purego:snippets_exit file=在读证明.pdf | Alloc=1.65MiB Sys=49.64MiB HeapInuse=3.02MiB HeapObjs=8175 Mallocs=139714 NumGC=196 | activePDF=2
2026/04/01 19:50:29.481409 pdf_memhook.go:48: [pdf-mem] phase=pdf:slot:acquired file=研究生成绩单统计.pdf | Alloc=1.66MiB Sys=49.64MiB HeapInuse=3.02MiB HeapObjs=8203 Mallocs=139751 NumGC=196 | activePDF=2
2026/04/01 19:50:29.481409 pdf_memhook.go:48: [pdf-mem] phase=pdf:IFilter:try_snippets file=【学校】关于发布南京邮电大学高质量学术成果目录的通知.pdf | Alloc=1.68MiB Sys=49.64MiB HeapInuse=3.05MiB HeapObjs=8677 Mallocs=140355 NumGC=196 | activePDF=2
2026/04/01 19:50:29.482441 pdf_memhook.go:48: [pdf-mem] phase=pdf:purego:NewReader_ok file=研究生成绩单统计.pdf | Alloc=1.89MiB Sys=49.64MiB HeapInuse=3.15MiB HeapObjs=13047 Mallocs=146031 NumGC=196 | activePDF=2
2026/04/01 19:50:29.482441 pdf_memhook.go:48: [pdf-mem] phase=pdf:purego:snippets_pages=2 file=研究生成绩单统计.pdf | Alloc=2.05MiB Sys=49.64MiB HeapInuse=3.24MiB HeapObjs=15818 Mallocs=149596 NumGC=196 | activePDF=2
2026/04/01 19:50:29.482964 pdf_memhook.go:48: [pdf-mem] phase=pdf:purego:snippets_begin file=【学校】关于发布南京邮电大学高质量学术成果目录的通知.pdf | Alloc=2.26MiB Sys=49.64MiB HeapInuse=3.38MiB HeapObjs=19036 Mallocs=154008 NumGC=196 | activePDF=2
2026/04/01 19:50:29.485574 pdf_memhook.go:67: [pdf-mem] page file=A_Reinforcement_Learning-Based_ELF_Adversarial_Malicious_Sample_Generation_Method.pdf page=1 plainLen=5938 | Alloc=1.74MiB HeapInuse=3.27MiB | activePDF=2
2026/04/01 19:50:29.492237 pdf_memhook.go:67: [pdf-mem] page file=研究生成绩单统计.pdf page=1 plainLen=620 | Alloc=2.07MiB HeapInuse=3.29MiB | activePDF=2
2026/04/01 19:50:29.492753 pdf_memhook.go:67: [pdf-mem] page file=研究生成绩单统计.pdf page=2 plainLen=0 | Alloc=2.13MiB HeapInuse=3.35MiB | activePDF=2
2026/04/01 19:50:29.492753 pdf_memhook.go:48: [pdf-mem] phase=pdf:purego:snippets_exit file=研究生成绩单统计.pdf | Alloc=2.15MiB Sys=49.64MiB HeapInuse=3.35MiB HeapObjs=14130 Mallocs=247558 NumGC=200 | activePDF=1
2026/04/01 19:50:29.492753 pdf_memhook.go:48: [pdf-mem] phase=pdf:slot:acquired file=【学校】关于发布南京邮电大学高质量学术成果目录的通知.pdf | Alloc=2.16MiB Sys=49.64MiB HeapInuse=3.36MiB HeapObjs=14245 Mallocs=247701 NumGC=200 | activePDF=2
